*************************
Information of currently running processess...
*************************
{'username': 'root', 'name': 'loginwindow', 'pid': 377, 'vms': 402407.015625}
{'username': 'rushikeshgade', 'name': 'distnoted', 'pid': 538, 'vms': 416910.78125}
{'username': 'rushikeshgade', 'name': 'cfprefsd', 'pid': 539, 'vms': 416912.125}
{'username': 'rushikeshgade', 'name': 'UserEventAgent', 'pid': 547, 'vms': 416946.0625}
{'username': 'rushikeshgade', 'name': 'WindowManager', 'pid': 550, 'vms': 402135.25}
{'username': 'rushikeshgade', 'name': 'CoreServicesUIAgent', 'pid': 552, 'vms': 401754.78125}
{'username': 'rushikeshgade', 'name': 'universalaccessd', 'pid': 553, 'vms': 401214.15625}
{'username': 'rushikeshgade', 'name': 'pboard', 'pid': 555, 'vms': 416920.734375}
{'username': 'rushikeshgade', 'name': 'talagentd', 'pid': 556, 'vms': 416960.8125}
{'username': 'rushikeshgade', 'name': 'Dock', 'pid': 557, 'vms': 402183.875}
{'username': 'rushikeshgade', 'name': 'ControlCenter', 'pid': 559, 'vms': 402411.703125}
{'username': 'rushikeshgade', 'name': 'SystemUIServer', 'pid': 560, 'vms': 401612.890625}
{'username': 'rushikeshgade', 'name': 'Finder', 'pid': 561, 'vms': 402535.9375}
{'username': 'rushikeshgade', 'name': 'lsd', 'pid': 564, 'vms': 416953.53125}
{'username': 'rushikeshgade', 'name': 'secd', 'pid': 565, 'vms': 416961.3125}
{'username': 'rushikeshgade', 'name': 'csnameddatad', 'pid': 566, 'vms': 416910.84375}
{'username': 'rushikeshgade', 'name': 'knowledge-agent', 'pid': 567, 'vms': 416953.84375}
{'username': 'rushikeshgade', 'name': 'dmd', 'pid': 568, 'vms': 416948.703125}
{'username': 'rushikeshgade', 'name': 'QuickLookUIService', 'pid': 569, 'vms': 416897.125}
{'username': 'rushikeshgade', 'name': 'bird', 'pid': 570, 'vms': 416957.0}
{'username': 'rushikeshgade', 'name': 'secinitd', 'pid': 571, 'vms': 416953.96875}
{'username': 'rushikeshgade', 'name': 'trustd', 'pid': 572, 'vms': 416947.90625}
{'username': 'rushikeshgade', 'name': 'com.apple.quicklook.ThumbnailsAgent', 'pid': 573, 'vms': 417470.453125}
{'username': 'rushikeshgade', 'name': 'WallpaperAgent', 'pid': 576, 'vms': 401885.015625}
{'username': 'rushikeshgade', 'name': 'siriactionsd', 'pid': 577, 'vms': 416978.546875}
{'username': 'rushikeshgade', 'name': 'com.apple.hiservices-xpcservice', 'pid': 578, 'vms': 416910.953125}
{'username': 'rushikeshgade', 'name': 'sharedfilelistd', 'pid': 580, 'vms': 416945.75}
{'username': 'rushikeshgade', 'name': 'usernotificationsd', 'pid': 581, 'vms': 416944.65625}
{'username': 'rushikeshgade', 'name': 'containermanagerd', 'pid': 582, 'vms': 416942.6875}
{'username': 'rushikeshgade', 'name': 'CoreLocationAgent', 'pid': 583, 'vms': 417109.078125}
{'username': 'rushikeshgade', 'name': 'sociallayerd', 'pid': 584, 'vms': 416943.921875}
{'username': 'rushikeshgade', 'name': 'suggestd', 'pid': 585, 'vms': 417001.46875}
{'username': 'rushikeshgade', 'name': 'tccd', 'pid': 586, 'vms': 416954.21875}
{'username': 'rushikeshgade', 'name': 'calaccessd', 'pid': 587, 'vms': 416960.6875}
{'username': 'rushikeshgade', 'name': 'callservicesd', 'pid': 588, 'vms': 416960.984375}
{'username': 'rushikeshgade', 'name': 'iconservicesagent', 'pid': 590, 'vms': 416967.421875}
