USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
rushikeshgade     1795   0.4  0.7 1623538928  61440   ??  S     5:31PM   0:09.80 /Users/rushikeshgade/Desktop/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/rushikeshgade/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,2222666090614573713,534909787394901689,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,MacWebContentsOcclusion,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version
_windowserver      374   0.3  1.1 412239888  88480   ??  Rs    5:31PM   3:27.19 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
rushikeshgade     1907   0.2  3.7 1635633888 309200   ??  S     5:32PM   2:21.13 /Users/rushikeshgade/Desktop/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/rushikeshgade/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Users/rushikeshgade/Desktop/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=9 --time-ticks-at-unix-epoch=-1749988845058525 --launch-time-ticks=75927735 --shared-files --field-trial-handle=1718379636,r,2222666090614573713,534909787394901689,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,MacWebContentsOcclusion,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version --vscode-window-config=vscode:dd2213b1-d69e-454b-b39d-7e77291f8d3f --seatbelt-client=56
rushikeshgade      895   0.1  0.8 444194064  65120   ??  S     5:31PM   0:42.85 /Users/rushikeshgade/Desktop/Visual Studio Code.app/Contents/Frameworks/Code Helper (GPU).app/Contents/MacOS/Code Helper (GPU) --type=gpu-process --user-data-dir=/Users/rushikeshgade/Library/Application Support/Code --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAAAAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=1718379636,r,2222666090614573713,534909787394901689,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,MacWebContentsOcclusion,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts --variations-seed-version --seatbelt-client=36
root               369   0.1  0.2 426950816  14160   ??  Ss    5:31PM   0:06.52 /usr/libexec/corebrightnessd --launchd
rushikeshgade     4588   0.0  1.3 1865426864 108304   ??  S     6:18PM   0:00.10 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=59 --time-ticks-at-unix-epoch=-1749988845043372 --launch-time-ticks=2334692575 --shared-files --field-trial-handle=1718379636,r,17927963591910627548,12196119745896552395,262144 --variations-seed-version=20250613-130015.573000 --seatbelt-client=189
rushikeshgade     4585   0.0  2.0 1865473824 169728   ??  S     6:18PM   0:00.65 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=58 --time-ticks-at-unix-epoch=-1749988845043372 --launch-time-ticks=2332615980 --shared-files --field-trial-handle=1718379636,r,17927963591910627548,12196119745896552395,262144 --variations-seed-version=20250613-130015.573000 --seatbelt-client=177
rushikeshgade     4583   0.0  2.5 1865451904 210128   ??  S     6:18PM   0:02.64 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=57 --time-ticks-at-unix-epoch=-1749988845043372 --launch-time-ticks=2328850564 --shared-files --field-trial-handle=1718379636,r,17927963591910627548,12196119745896552395,262144 --variations-seed-version=20250613-130015.573000 --seatbelt-client=176
rushikeshgade     4571   0.0  0.1 426950256   7168   ??  S     6:16PM   0:00.14 /System/Library/PrivateFrameworks/AOSKit.framework/Versions/A/XPCServices/com.apple.iCloudHelper.xpc/Contents/MacOS/com.apple.iCloudHelper
rushikeshgade     3983   0.0  0.0 410621888   3008   ??  S     6:04PM   0:00.04 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/MacOS/XProtect
rushikeshgade     3972   0.0  0.3 411290448  24608   ??  S     6:03PM   0:00.25 /System/Library/CoreServices/OSDUIHelper.app/Contents/MacOS/OSDUIHelper
rushikeshgade     3954   0.0  0.2 426963504  18416   ??  S     6:01PM   0:00.33 cloudphotod
rushikeshgade     3949   0.0  0.1 426916208   8784   ??  S     5:59PM   0:00.09 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
root              3947   0.0  0.0 410622448   4016   ??  Ss    5:59PM   0:00.03 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/MacOS/XProtect
root              3945   0.0  0.1 426917216   4368   ??  Ss    5:59PM   0:00.06 /usr/libexec/mmaintenanced
rushikeshgade     3946   0.0  0.0 426916160   3120   ??  S     5:59PM   0:00.07 /usr/libexec/metrickitd
rushikeshgade     3944   0.0  0.1 426916880   6768   ??  S     5:59PM   0:00.06 /usr/libexec/keychainsharingmessagingd
rushikeshgade     3943   0.0  0.2 427133632  17504   ??  S     5:59PM   0:00.60 /System/Cryptexes/App/usr/libexec/AuthenticationServicesAgent
rushikeshgade     3940   0.0  0.3 411026928  22704   ??  S     5:59PM   0:00.11 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreautha.bundle/Contents/MacOS/coreautha
rushikeshgade     3772   0.0  0.0 410295504   2704   ??  Ss    5:53PM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
rushikeshgade     3771   0.0  0.3 411491648  22208   ??  Ss    5:53PM   0:00.07 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTEncoderXPCService.xpc/Contents/MacOS/VTEncoderXPCService
rushikeshgade     3770   0.0  0.6 444195264  53360   ??  S     5:53PM   0:00.40 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=audio --message-loop-type-ui --shared-files --field-trial-handle=1718379636,r,17927963591910627548,12196119745896552395,262144 --variations-seed-version=20250613-130015.573000 --seatbelt-client=63
rushikeshgade     3250   0.0  0.1 426950464   6208   ??  S     5:44PM   0:00.10 /usr/libexec/inputanalyticsd
rushikeshgade     3244   0.0  0.1 426957808   8448   ??  Ss    5:43PM   0:00.12 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
rushikeshgade     3245   0.0  0.1 426957840   7312   ??  Ss    5:43PM   0:00.11 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
rushikeshgade     3243   0.0  0.0 410163616   1856   ??  Ss    5:43PM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
rushikeshgade     2980   0.0  0.3 426965984  23744   ??  S     5:39PM   0:00.62 /System/iOSSupport/System/Library/PrivateFrameworks/HomeEnergyDaemon.framework/Support/homeenergyd
rushikeshgade     2233   0.0  0.0 410528208   3072 s004  Ss    5:37PM   0:00.21 /bin/zsh -il
_audiomxd         2230   0.0  0.1 426949280   9808   ??  Ss    5:37PM   0:00.14 /usr/libexec/audiomxd
rushikeshgade     2229   0.0  0.0 410435792   2448   ??  Ss    5:37PM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
root              2228   0.0  0.0 426916704   3056   ??  Ss    5:37PM   0:00.05 /usr/libexec/betaenrollmentd
rushikeshgade     2227   0.0  0.1 426960032   6752   ??  S     5:37PM   0:00.07 /usr/libexec/betaenrollmentagent
rushikeshgade     2222   0.0  0.1 426950480  10480   ??  S     5:36PM   0:00.16 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
root              2209   0.0  0.1 426949984   9344   ??  Ss    5:36PM   0:00.09 /usr/libexec/powerdatad
root              2208   0.0  0.1 426918656   4832   ??  Ss    5:36PM   0:02.14 /usr/libexec/ASPCarryLog
rushikeshgade     2206   0.0  0.2 426954144  18016   ??  Ss    5:36PM   0:00.91 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
rushikeshgade     2204   0.0  0.0 426950416   4192   ??  S     5:36PM   0:00.13 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
rushikeshgade     2205   0.0  0.1 426912672   7488   ??  S     5:36PM   0:00.03 /usr/libexec/feedbackd
rushikeshgade     2184   0.0  4.7 1868973488 393024   ??  S     5:34PM   0:16.85 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/137.0.7151.104/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=20 --time-ticks-at-unix-epoch=-1749988845043372 --launch-time-ticks=241316634 --shared-files --field-trial-handle=1718379636,r,17927963591910627548,12196119745896552395,262144 --variations-seed-version=20250613-130015.573000 --seatbelt-client=152
rushikeshgade     2170   0.0  0.4 426984224  32512   ??  Ss    5:34PM   0:00.34 /System/Library/ExtensionKit/Extensions/TextThumbnailExtension.appex/Contents/MacOS/TextThumbnailExtension
rushikeshgade     2169   0.0  0.1 426926704   6752   ??  Ss    5:34PM   0:00.09 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
rushikeshgade     2166   0.0  0.2 426962880  18512   ??  S     5:34PM   0:00.66 /usr/libexec/tipsd
rushikeshgade     2162   0.0  0.2 411190384  17280   ??  Ss    5:33PM   0:00.48 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
rushikeshgade     2160   0.0  0.4 426990064  34832   ??  S     5:33PM   0:04.71 /usr/libexec/duetexpertd
rushikeshgade     2159   0.0  0.2 426962800  17360   ??  S     5:33PM   0:00.32 /usr/libexec/proactived
rushikeshgade     2158   0.0  0.2 426957728  17904   ??  S     5:33PM   0:00.35 /System/Library/PrivateFrameworks/People.framework/peopled
rushikeshgade     2157   0.0  0.2 427125568  17072   ??  S     5:33PM   0:00.25 /System/Cryptexes/App/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
rushikeshgade     2156   0.0  0.4 426962160  35600   ??  S     5:33PM   0:00.92 /System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd
_rmd              2146   0.0  0.1 410754096   4512   ??  Ss    5:33PM   0:00.10 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedConfigurationFilesSubscriber.xpc/Contents/MacOS/ManagedConfigurationFilesSubscriber
